user_id,videos_json,channel_title,thumbnail_link,view_count,subscriber_count,video_count
UCT3PBT4fBwRKsM5dYGuaDsg,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 1, ""comment"": ""You are very fat, I called it ages ago when you would leave nelk.""}]",Bignorrisgreenwood,https://yt3.ggpht.com/DzpUIkWV3-GfRLEITfVad7pekIHij5fxsXJpwd_rj8K2kjHZsKOJ3JvcPfci-RbgQN6SnkjKzQ=s88-c-k-c0x00ffffff-no-rj,0,4,0
UCma-bI0Dg9pSF_xVjnyEnyg,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""yadnus""}]",Iddtl Visuals - Masahico Torres,https://yt3.ggpht.com/WWKIYG4MkojUy6wwqqUNkN1R_bDA9Vrv5T4yuEN8Bu1xLsgs9QEmrIQwdEP0iIgyU5tfEgvupw=s88-c-k-c0x00ffffff-no-rj,823,500,6
UC_ZWYKfpvh42qdeNvscYhGQ,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""YADNUS""}]",Travis Wieser,https://yt3.ggpht.com/ytc/AIdro_ne-0BijNkZOK6VGz3yMA_I7ucU2w8vsk0Taa-yhov3Zp2G=s88-c-k-c0x00ffffff-no-rj,3468,7,2
UCKf7YFdUJgl_eGJd71mKjZg,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""This dope bro I\u2019m happy to see you getting back to the YouTube grind! Keep pushing!""}, {""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""Yadnus""}]",George Rodriguez,https://yt3.ggpht.com/ytc/AIdro_mOlsgwea8EuVKtSWWBGPprYpaJ3ABGLE-6xcRkc0Pv0eB5KGX5SrKX2B1RGWTU5OGDNw=s88-c-k-c0x00ffffff-no-rj,0,0,0
UCzhoU7iI1tW8GUi0plNdkjg,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""Yadnus""}]",The Workout Junkies,https://yt3.ggpht.com/ytc/AIdro_mqMkKrt9P4_sS9vd3lFzvFNy5EeId9a9Fr9YVhWg4LZg=s88-c-k-c0x00ffffff-no-rj,0,4,0
UC6E4SWWu72iq2B3eEFMHm7A,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""Yadnus""}]",Dianne Lane,https://yt3.ggpht.com/ytc/AIdro_nF_DAXSLu0uiVdnt56LKqAWGUmI9HAf4rmfo3ZMmQ=s88-c-k-c0x00ffffff-no-rj,0,0,0
UCr9Gpis5NcPcs0JxJwNdKiw,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 1, ""comment"": ""\"" i dont wana be a youtuber\"" that hit deep.""}]",chilly cheeze#2,https://yt3.ggpht.com/ytc/AIdro_mhEHR8NADJobeIBLsf6amAcc7-7v8x-iAfBXB40XagHtY=s88-c-k-c0x00ffffff-no-rj,1908,3,3
UCWukhs-rIfyqmVrFrAKvNLg,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""Yadnus""}]",Jalen Jackson,https://yt3.ggpht.com/ytc/AIdro_nj8qLb9vctBmpSc9wtLnThxFmvMXzfA6Gg-keLZOg=s88-c-k-c0x00ffffff-no-rj,0,0,0
UCx4esE1Qzo-tMd1fRQ2outg,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 1, ""comment"": ""Yadnus""}]",Jesus Millan,https://yt3.ggpht.com/ytc/AIdro_ldP4RMe3eSjAOa_dKH9JRKV6aR0ml-jPuZZlLZkiYG84g=s88-c-k-c0x00ffffff-no-rj,102,5,22
UCROSpkz8yO_eEkPAVNQrYrA,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""Yadnus""}, {""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""I fck with it bro I love a Sunday sesh""}]",Johno burgess,https://yt3.ggpht.com/oI_nPohv6VH1WlS4FdQrdKsTO9JCDUBoMjrrp6IxxbVx80903IOP3lTf6fx22AqfCLDSln6gCQ=s88-c-k-c0x00ffffff-no-rj,134085,188,50
UCv78QehahNHOeOiK9eRk-_A,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""Yadnus""}]",Clippery Shorts,https://yt3.ggpht.com/NfTVINgnZQJpFCum7WMf44RflE-KmuKa04q-jcNIJLrN-mU-PolYrdJJ-i4zG9Ofpe6tSS4L=s88-c-k-c0x00ffffff-no-rj,128127,52,38
UCS72A4MLP3OI9MaRuVVwilg,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""Yadnus Jesse, yadnus""}]",Gabriel Stagg,https://yt3.ggpht.com/ytc/AIdro_ku1XNAyeU-3NrtI3-sR8DurefT25qf0YD6J8TXtlCta7M=s88-c-k-c0x00ffffff-no-rj,111,1,1
UCdu8VV0TGLLgKZN7v1bSp5A,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""Good thing you left those sell out nerds.""}]",BingBong,https://yt3.ggpht.com/ytc/AIdro_l6LfiGUOovI1gGphSJuRe0J78AzT4UMRYC_hyCjtiSi8XqkNILzrxpVmBSvC9ns51YqA=s88-c-k-c0x00ffffff-no-rj,0,0,0
UC2RcQDh8vxS6gUSzkdMJTSg,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""yadnus""}]",Henry Jimenez,https://yt3.ggpht.com/ytc/AIdro_lgSpNdYh2Noo1qxXxwL_jFZyLNZyzFFf7RBu3c1fM=s88-c-k-c0x00ffffff-no-rj,0,0,0
