video_id,title,thumbnail_link,channel_title,view_count,like_count,comment_count
VHZDxOmRthE,Leetcode - The Path to Enlightenment,https://i.ytimg.com/vi/VHZDxOmRthE/maxresdefault.jpg,NeetCodeIO,167889,7334,124
QHXET1G9Y5U,I quit Amazon after two months,https://i.ytimg.com/vi/QHXET1G9Y5U/maxresdefault.jpg,NeetCode,653538,34552,2372
IcxM8G1odzg,How I got promoted at Google in one year (from soy to chad),https://i.ytimg.com/vi/IcxM8G1odzg/maxresdefault.jpg,NeetCodeIO,59995,2081,84
el0YrkT-NPA,What I Worked on at Google (as a software engineer 🤓),https://i.ytimg.com/vi/el0YrkT-NPA/maxresdefault.jpg,NeetCodeIO,82619,1782,104
