video_id,title,thumbnail_link,channel_title,view_count,like_count,comment_count
X1A0maG9k7M,Yung Lean x bladee - Ghosts (Official Video),https://i.ytimg.com/vi/X1A0maG9k7M/maxresdefault.jpg,Yung Lean,299224,14355,857
iQPq68mP-t8,Yung Lean — Yayo (Official Audio),https://i.ytimg.com/vi/iQPq68mP-t8/maxresdefault.jpg,Yung Lean,961839,22601,1356
vYdmrLYftlI,Yung Lean — Acid At 7/11 (Official Audio),https://i.ytimg.com/vi/vYdmrLYftlI/maxresdefault.jpg,Yung Lean,859759,15137,669
tMgkt9jdjTU,Yung Lean - Kyoto,https://i.ytimg.com/vi/tMgkt9jdjTU/maxresdefault.jpg,Yung Lean,65526556,668879,33773
KOFw2UPLdPk,Yung Lean & Thaiboy Digital - Diamonds,https://i.ytimg.com/vi/KOFw2UPLdPk/maxresdefault.jpg,Yung Lean,21901145,228912,9840
