user_id,videos_json,channel_title,thumbnail_link,view_count,subscriber_count,video_count
UC6KE9tIofpxmGa4uvaemBnw,"[{""video_id"": ""X1A0maG9k7M"", ""like_count"": 0, ""comment"": ""Damn""}]",aaron,https://yt3.ggpht.com/8thJEoxSkUi_HBIGPiGh2nxMZmc5wU2p1Cbg96K-6Ro7kKkfl8gDMiX4mWZ975WPGDZr92yOfQ=s88-c-k-c0x00ffffff-no-rj,11,0,1
UCF_KqQOw8KvPW-O7Dk17xBw,"[{""video_id"": ""X1A0maG9k7M"", ""like_count"": 0, ""comment"": ""This shit crazy beautiful""}]",Nicholas Davis,https://yt3.ggpht.com/ytc/AIdro_lLWMGxUaeh_-leEpH4qrKz7JyIk5fFKvb200P8WTTQa0M=s88-c-k-c0x00ffffff-no-rj,0,0,0
UCePpWja8nocfKEDfF3XmYJw,"[{""video_id"": ""X1A0maG9k7M"", ""like_count"": 0, ""comment"": ""ts so cute""}]",schlumpyyy,https://yt3.ggpht.com/ytc/AIdro_mVA6E-ULrZwJHvZyeCkTPY3BIhcHuX_AVqqmB068zuB7I=s88-c-k-c0x00ffffff-no-rj,6063,65,54
UC1zqGGAbxPjlOWKbfQQgqng,"[{""video_id"": ""X1A0maG9k7M"", ""like_count"": 0, ""comment"": ""blows my mind that people listen to this unironically""}]",Pieter-Jan,https://yt3.ggpht.com/1QPE1yXS-h5NSbVKdcrH2WyP5aPrUnN46vWZwhcI_UBLQ8p3BPYQ9J5g08qEhk25QHAJ2u4gEJ4=s88-c-k-c0x00ffffff-no-rj,52907,986,49
UCfi2HZ1cZsTahm8FyOuZxxg,"[{""video_id"": ""X1A0maG9k7M"", ""like_count"": 0, ""comment"": ""Valid as fuhh I""}, {""video_id"": ""tMgkt9jdjTU"", ""like_count"": 0, ""comment"": ""immmmmadooome""}]",纬,https://yt3.ggpht.com/D_i9EAqTjc8-N7xUS1wNMDF9JK5BFqwetAlmaAajbmPDS08myJkMGNreZPHqblgP5LctbX8x=s88-c-k-c0x00ffffff-no-rj,0,20,0
UCw0iqvLzICl4xnss_LsPzew,"[{""video_id"": ""X1A0maG9k7M"", ""like_count"": 0, ""comment"": ""https://youtu.be/bl6RocQtERw?si=AhdsFIXzuUqAr8Ly""}, {""video_id"": ""tMgkt9jdjTU"", ""like_count"": 1, ""comment"": ""https://youtu.be/bl6RocQtERw?si=AhdsFIXzuUqAr8Ly""}]",SK8L1feSosa Beats,https://yt3.ggpht.com/gI-bFpZhPK8sGZpdopPXy1lDz6kgpVuaNXjk3Ya_ntz1HIAFxvYRaoBwsDD-Lv_A85PaXbQDfhw=s88-c-k-c0x00ffffff-no-rj,17452,39,62
UCmWIH0HZyygo6bxCxYfAPSg,"[{""video_id"": ""X1A0maG9k7M"", ""like_count"": 0, ""comment"": ""OMFG""}]",Sasha,https://yt3.ggpht.com/ytc/AIdro_meLtS1C8gl1i7ctdw977aqXq65ZlRYz3nJcpNHxhajLNpRpb2AVHlBghoDuIef2xu6gQ=s88-c-k-c0x00ffffff-no-rj,0,0,0
UC2EsQgX8Qb86Ii3UCCGLmdA,"[{""video_id"": ""X1A0maG9k7M"", ""like_count"": 0, ""comment"": ""\u201cKids see ghosts malone\u201d""}]",Sam Martinez,https://yt3.ggpht.com/ytc/AIdro_mpXfBthTGKfDC8ztaqKf3A0cZx4A6xBvuOcNfRd7FPxKg=s88-c-k-c0x00ffffff-no-rj,560,9,7
UCwxmkz0bvLIEYVBR36OtnLg,"[{""video_id"": ""X1A0maG9k7M"", ""like_count"": 0, ""comment"": ""Number one song of 2024 \ud83c\udf89""}]",Vlt Brt,https://yt3.ggpht.com/ytc/AIdro_mZaodwRcR5uH-cDz_CA-q8P_LbS3UOHBJABRhyq-uOzrM=s88-c-k-c0x00ffffff-no-rj,109,14,3
UC4YCE_XJfZJPEUv46MKlKDQ,"[{""video_id"": ""X1A0maG9k7M"", ""like_count"": 1, ""comment"": ""Idk if they\u2019re here already but I wanted to read them as I listened to this version\n\n\nOnly you can glue my blue and\nBroken, shattered, battered porcelain heart\nTear my soul apart\nSo dark from smoking poison\nToxic, tainted love\nMurder when from you is something holy\nOnly pure, so beautiful\nWhen she sinks her teeth in me my flesh is red\nAnd I bled out for us\nEven hate from you would have me thankful\nOnly to be in your thoughts\nLonely in your arms\nLonely in your arms\nIn this violent dawn\nSomething feels so wrong\nOne day I'll settle down\nThorns on my crown\nTorture and pleasure\nIt's the same to me now\nI've always seen the signs\nThey change when I'm around\nIt wasn't my intention to look up to me now\nTry to wake up and smile\nI know there's a light\nWant to slow down but I lead a fast life\nWant to slow down and enjoy what is around\nI'm fighting for a title but I don't know the prize\nIn our hopeless longing\nWondering why must I go on like this\nWhen I wanna lie face down\nWanna sink way down all the way through earth\nAnd be one with dirt\nJust a speck in the corner of this endless trench\nJust a sec not a second chance to regret\nIn the face of death\nIn our final breath\nWe long to forget\nAnd to restart fresh\nRed dress off\nBlack latex fainting\nNothing new it's all ancient\nLess is more tryna say less\nShe's in the middle of my painting\nAsphalt terrain that's my fragrance\nWe wrote a bible in Sanskrit\nPlay different roles in the same script\nI'm highest to God when I don't make sense\nYou like it when I'm down\nAnd when I'm up I know you won't say shit""}]",It’s raisey,https://yt3.ggpht.com/KERBYFtAlU4iVnUDeCPFROposCVrKPM9Jbm0EiuS1cLXD-2710hpXFOPk1Cho8n5Mnc7ZeUGTA=s88-c-k-c0x00ffffff-no-rj,0,0,0
UCOzX8mHtjG_K9qfipUuh7tg,"[{""video_id"": ""X1A0maG9k7M"", ""like_count"": 0, ""comment"": ""This song was in my dream last night""}]",Wtrxxh,https://yt3.ggpht.com/-CYqjNPJP4NNF0bWBzvQgrgRdrmQ9r1NX_myilt5C6gIvVldOJ_0s0DH2ce5hkzcD6xFw2Lg=s88-c-k-c0x00ffffff-no-rj,8108,30,7
UCtge2MzqJbPBZeKfpeYmllg,"[{""video_id"": ""X1A0maG9k7M"", ""like_count"": 0, ""comment"": ""you want to have an epic comeback? make a Remix of your first song that made you go Viral. ""}]",Christian,https://yt3.ggpht.com/ytc/AIdro_n347X0VL19_nJK1JcDO6E1ShfoKEOPgNdQk-BaXHpVjTDt=s88-c-k-c0x00ffffff-no-rj,98,3,1
UC6bukH0m6ixiEgVx3pOrLzw,"[{""video_id"": ""X1A0maG9k7M"", ""like_count"": 0, ""comment"": ""sad boys""}]",High Times,https://yt3.ggpht.com/ytc/AIdro_nMCn8GZ7SMAMyPSeawM6u9K-2D-cWwjljotXKwY_o=s88-c-k-c0x00ffffff-no-rj,487,2,16
UC9q3Vrp0O5NEF_g8SIrGJ-g,"[{""video_id"": ""X1A0maG9k7M"", ""like_count"": 0, ""comment"": ""\ud83d\ude1e""}]",Larryhjul,https://yt3.ggpht.com/ytc/AIdro_mx8eH224MvlWuglifSig38nzxDBPKOUUkwkVDtX-ppvlg=s88-c-k-c0x00ffffff-no-rj,82,36,1
UCFY-kp5wF6-DW-YqqvKp43w,"[{""video_id"": ""X1A0maG9k7M"", ""like_count"": 0, ""comment"": ""Otro gran tema m\u00fasical""}, {""video_id"": ""tMgkt9jdjTU"", ""like_count"": 3, ""comment"": ""Yung lean estaba en el trap cuando muchos estaban en el cascaron""}, {""video_id"": ""KOFw2UPLdPk"", ""like_count"": 2, ""comment"": ""Muy bueno la entrada de thaiboy digital la verdad""}]",el de la gorra plana,https://yt3.ggpht.com/j2tx5VRN0xKR_oF-R0xFH5rqeBkkX_BP0EI-nI_t_9UrldURAc8xdt6d1aEnsh-Dm6Dw4_ukiA=s88-c-k-c0x00ffffff-no-rj,17479,62,235
UCo-eXPmguwDH6gwZaWa-plg,"[{""video_id"": ""X1A0maG9k7M"", ""like_count"": 0, ""comment"": ""\u043a\u0430\u043a \u0436\u0435 \u0445\u043e\u0440\u043e\u0448\u043e \u2764""}]",Kate 93,https://yt3.ggpht.com/ytc/AIdro_lOmWXBV4lbNFLdtfmXGZIsbK2qdTrJYE7kDX82YCVPvEU=s88-c-k-c0x00ffffff-no-rj,0,46,0
UCCfC_qZJ19LmOKR3FH9oNWQ,"[{""video_id"": ""X1A0maG9k7M"", ""like_count"": 0, ""comment"": ""My goats forever, love you boys""}]",J,https://yt3.ggpht.com/ytc/AIdro_kMoTTH-JKqLlUH9r4c5JBl5TN0W-B61VZuD8-QyQg=s88-c-k-c0x00ffffff-no-rj,0,0,0
UCm2yWYWXzhV6u4QTWbIGQ2w,"[{""video_id"": ""X1A0maG9k7M"", ""like_count"": 0, ""comment"": ""4:17 my favourite part""}, {""video_id"": ""iQPq68mP-t8"", ""like_count"": 3, ""comment"": ""Man this has grown so much on me the past few days and I\u2019ve known the song for like two years""}]",Cartierian,https://yt3.ggpht.com/PdqTioyQMwMkSpI0Q-YtKJ72ofv0cDHZcqXGneI3rIAfl9EjQEEQtcIVjq0LhxYHn2OwX97vsg=s88-c-k-c0x00ffffff-no-rj,1386,19,1
UCUcfqRPe9IC9ejJjzGVWgow,"[{""video_id"": ""X1A0maG9k7M"", ""like_count"": 1, ""comment"": ""I'm crying man, this is soo beautiful""}]",yebbi,https://yt3.ggpht.com/fC6pnN_6yNZbEMsKdsehaTfh3txQe4YNXQmRX8FRUW9UvN-5stfHUKZ1H9gJUg1THuir55mk=s88-c-k-c0x00ffffff-no-rj,0,9,0
UCqr5wKSmfU9-dzoB5YhwnmQ,"[{""video_id"": ""X1A0maG9k7M"", ""like_count"": 0, ""comment"": ""\u0421\u0443\u043a\u0430! \u042d\u0442\u043e\u0442 \u043a\u043e\u043d\u0442\u0440\u0430\u0441\u0442: \u0443\u043b\u0438\u0446\u0430 - \u0441\u0446\u0435\u043d\u0430 - \u043a\u0443\u0445\u043d\u044f, \u0441\u043e\u0437\u0434\u0430\u0435\u0442 \u0435\u0431#\u0435\u0441\u043a\u0443\u044e \u0430\u0442\u043c\u043e\u0441\u0444\u0435\u0440\u0443""}]",Back door Man,https://yt3.ggpht.com/WeveAvqnvLmTHMfdmnoNTuwi6WMjXoFMHsk-NdI6tGxuwPv2TK5eScl4_BgqnntC7p0LRbuP=s88-c-k-c0x00ffffff-no-rj,2,4,1
UCm6L-0foxJZ4oEFsHPBUmmA,"[{""video_id"": ""X1A0maG9k7M"", ""like_count"": 0, ""comment"": ""Wtf is this boring tuneless shit""}]",kguymyguyfrydie,https://yt3.ggpht.com/m4tgNId_KEZDb9t1qbhD285BTZgz7H9HIefF31yHb7FBxmN7a4tX6mSuPQWnj0C_wtMIeIBWIQ=s88-c-k-c0x00ffffff-no-rj,0,6,0
UCxkgddDRhxeu_QL7gCeQFVQ,"[{""video_id"": ""X1A0maG9k7M"", ""like_count"": 0, ""comment"": ""Long time fan this is bad""}]",M Robb,https://yt3.ggpht.com/ytc/AIdro_mMof72FY-VZK8iPUcAtoNJrQD51HUUNzYKBi3spZ8uFQg=s88-c-k-c0x00ffffff-no-rj,15510,6,9
UCkmqiNt3QwjkPW7dvmh7j4w,"[{""video_id"": ""X1A0maG9k7M"", ""like_count"": 0, ""comment"": ""Looks like bloodborne""}]",Ducksauc3,https://yt3.ggpht.com/Xxq3HtaDlMVsyl--k9F5pHg2B_Pf0d76PIVWgBxpdIqJyG4vS3pZc6e0A4_nBcTzib8o3HCW4m4=s88-c-k-c0x00ffffff-no-rj,0,6,0
UCSpB59MfZK18cq-bLKb6AEw,"[{""video_id"": ""X1A0maG9k7M"", ""like_count"": 0, ""comment"": ""you my big insriprininnnn""}]",nate the based god,https://yt3.ggpht.com/ytc/AIdro_kgWIxZBVt4nB9pydYCBf5K5TNPmH6yCgPyTEhuj1zq5oGEOKnMBLCRYfvkYOy5F_Spsw=s88-c-k-c0x00ffffff-no-rj,0,0,0
