video_id,title,thumbnail_link,channel_title,view_count,like_count,comment_count
gs8qfL9PNac,"2,000 People Fight For $5,000,000",https://i.ytimg.com/vi/gs8qfL9PNac/maxresdefault.jpg,MrBeast,113920293,3600157,38004
0BjlBnfHcHM,"Beat Ronaldo, Win $1,000,000",https://i.ytimg.com/vi/0BjlBnfHcHM/maxresdefault.jpg,MrBeast,172578756,6744995,104312
Xj0Jtjg3lHQ,"$1 vs $500,000 Experiences!",https://i.ytimg.com/vi/Xj0Jtjg3lHQ/maxresdefault.jpg,MrBeast,153051509,4342561,50954
bn0Kh9c4Zv4,7 Days Exploring An Underground City,https://i.ytimg.com/vi/bn0Kh9c4Zv4/maxresdefault.jpg,MrBeast,114413746,3181157,29331
snX5YyflrGw,"100 Identical Twins Fight For $250,000",https://i.ytimg.com/vi/snX5YyflrGw/maxresdefault.jpg,MrBeast,123587100,3023750,25829
